,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP
109,110,505027,Valley Springs High School,0.0121036661608791,19.79
110,111,5903012,Hazen High School,-0.0004471723405963246,18.03
111,112,6901012,Rural Special High School,-0.004884230593201977,18.59
112,113,5201002,Bearden High School,-0.007043030903901126,16.88
113,114,4501002,Flippin High School,-0.009964579817133057,18.91
114,115,2803017,Marmaduke High School,-0.0199077367027094,18.43
115,116,1802007,Earle High School,-0.04295822288006157,14.28
116,117,3804010,Hoxie High School,-0.043276951811368036,18.54
117,118,6302012,Benton High School,-0.04347936533700292,20.49
118,119,2301006,Conway High School,-0.06587522007196256,20.54
119,120,3405025,Tuckerman High School,-0.07937673209890406,19.0
120,121,7302010,Beebe High School,-0.0904052727151381,19.55
121,122,4701002,Armorel High School,-0.11077129688778342,18.63
122,123,3810027,Walnut Ridge High School,-0.11719021378160832,18.61
123,124,2901002,Blevins High School,-0.1712359297481143,17.19
124,125,6053703,Premier High School of Little Rock,-0.19335404756308527,15.13
125,126,6003151,Maumelle High School,-0.21073284059239938,18.5
126,127,6103010,Pocahontas High School,-0.22623538229021278,19.01
127,128,1003018,Gurdon High School,-0.23378157282780876,17.08
128,129,5404032,Marvell-Elaine High School,-0.2392575867335509,14.48
129,130,3002009,Glen Rose High School,-0.24647903020317585,19.19
130,131,303703,Mtn Home High Career Academics,-0.2588108508141289,19.98
131,132,1507036,Morrilton Sr. High School,-0.2644828705437412,18.14
132,133,5605023,Trumann High School,-0.2760436526815724,17.48
133,134,1704017,Mulberry High School,-0.2829088857772888,18.39
134,135,7301003,Bald Knob High School,-0.28364159079323414,18.65
135,136,2906026,Spring Hill High School,-0.30027130836667837,18.86
136,137,4301029,Lonoke High School,-0.3032066254935337,17.74
137,138,6601024,Northside High School,-0.31017211843759895,18.42
138,139,1603007,Brookland High School,-0.31058736751774774,19.56
139,140,1701002,Alma High School,-0.319721916833803,19.35
140,141,5401003,Barton High School,-0.320113938003562,16.52
141,142,201006,Crossett High School,-0.32870869206512765,17.92
142,143,3704013,Lafayette County High School,-0.3486735887607679,16.03
143,144,5604017,Marked Tree High School,-0.35614392741403833,16.7
144,145,3809023,Hillcrest High School,-0.3782477920568468,18.04
145,146,7310043,Rose Bud High School,-0.3813621519404826,18.34
146,147,1705027,Van Buren High School,-0.38487895822225227,19.61
147,148,2807008,Greene Co. Tech High School,-0.4148066661685945,19.17
148,149,5707023,Cossatot River High School,-0.41737600624941606,17.5
149,150,101004,Dewitt High School,-0.4177987715886715,18.34
150,151,4303013,Carlisle High School,-0.41882010689346316,18.0
151,152,7207062,Har-Ber High School,-0.42288018260866167,20.29
152,153,7001012,El Dorado High School,-0.4313340209317289,18.02
153,154,405048,Rogers High School,-0.4341779691031853,19.47
154,155,7204028,Greenland High School,-0.45875569503515834,17.6
155,156,506032,Lead Hill High School,-0.46209141175910773,17.5
156,157,4101004,Ashdown High School,-0.4708110553473297,17.75
157,158,7201002,Elkins High School,-0.48245256057455776,18.9
158,159,6303022,Bryant High School,-0.49031742214727103,20.27
159,160,5006024,Prescott High School,-0.49176320746178703,17.11
160,161,6606062,Mansfield High School,-0.49815230106927544,18.19
161,162,1905017,Wynne High School,-0.5108111233199146,17.8
162,163,104025,Stuttgart High School,-0.511594415866437,17.26
163,164,2404017,Ozark High School,-0.5125056001630206,18.97
164,165,3306015,Izard Co. Cons. High School,-0.5297404427587367,17.74
165,166,6605057,Lavaca High School,-0.5327243618173263,18.47
166,167,701002,Hampton High School,-0.5425074255117686,17.32
167,168,6201011,Forrest City High School,-0.5462910339779761,15.11
168,169,4602006,Genoa Central High School,-0.5554339275860514,20.01
169,170,6804010,Highland High School,-0.5561749840498251,18.17
170,171,5403019,Central High School,-0.5896714546231312,14.13
171,172,6050703,College Prep Academy,-0.5936931816592796,15.91
172,173,4201002,Booneville High School,-0.6025891975857824,18.23
173,174,5204023,Camden Fairview High School,-0.6072833315830231,16.31
174,175,3003014,Magnet Cove High School,-0.6310632000090202,18.83
175,176,4003016,Star City High School,-0.6463055233756592,17.55
176,177,4712044,Manila High School,-0.6464705565443509,18.34
177,178,1613021,Riverside High School,-0.7032749400047571,17.91
178,179,2202005,Drew Central High School,-0.7125459132839005,17.36
179,180,6703013,Horatio High School,-0.7556554584564701,17.49
