,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP
109,110,505027,Valley Springs High School,0.00678462217090825,19.79
110,111,5201002,Bearden High School,0.0037692982439061495,16.88
111,112,5903012,Hazen High School,-0.00031293701639967253,18.03
112,113,4501002,Flippin High School,-0.010913440059077573,18.91
113,114,6901012,Rural Special High School,-0.015251058980148002,18.59
114,115,2803017,Marmaduke High School,-0.02747946332421236,18.43
115,116,1802007,Earle High School,-0.039299204371120666,14.28
116,117,3804010,Hoxie High School,-0.039791473266575395,18.54
117,118,6302012,Benton High School,-0.04622068245581801,20.49
118,119,2301006,Conway High School,-0.0745325471120104,20.54
119,120,3405025,Tuckerman High School,-0.08068086188956158,19.0
120,121,7302010,Beebe High School,-0.09897145052196521,19.55
121,122,3810027,Walnut Ridge High School,-0.10468807392850721,18.61
122,123,4701002,Armorel High School,-0.11240117933733274,18.63
123,124,2901002,Blevins High School,-0.16627011113203594,17.19
124,125,6053703,Premier High School of Little Rock,-0.18062102686548265,15.13
125,126,6103010,Pocahontas High School,-0.19099958578636844,19.01
126,127,6003151,Maumelle High School,-0.20528756702205442,18.5
127,128,3002009,Glen Rose High School,-0.23743216208990603,19.19
128,129,1003018,Gurdon High School,-0.23968958655337858,17.08
129,130,5404032,Marvell-Elaine High School,-0.24167719902508367,14.48
130,131,303703,Mtn Home High Career Academics,-0.25857177389607955,19.98
131,132,1507036,Morrilton Sr. High School,-0.26172262503508037,18.14
132,133,1704017,Mulberry High School,-0.27775034317148695,18.39
133,134,2906026,Spring Hill High School,-0.2851103155471755,18.86
134,135,7301003,Bald Knob High School,-0.2863742231777664,18.65
135,136,5605023,Trumann High School,-0.28755672510522245,17.48
136,137,1701002,Alma High School,-0.3009338248184861,19.35
137,138,4301029,Lonoke High School,-0.30369169745365454,17.74
138,139,5401003,Barton High School,-0.31714606484231567,16.52
139,140,6601024,Northside High School,-0.31775822257843345,18.42
140,141,1603007,Brookland High School,-0.32205775091493294,19.56
141,142,201006,Crossett High School,-0.32888969277964364,17.92
142,143,3704013,Lafayette County High School,-0.3432195660647892,16.03
143,144,5604017,Marked Tree High School,-0.36364907915501377,16.7
144,145,1705027,Van Buren High School,-0.36763086237966647,19.61
145,146,3809023,Hillcrest High School,-0.39141636089044596,18.04
146,147,7310043,Rose Bud High School,-0.3947590307648703,18.34
147,148,5707023,Cossatot River High School,-0.41334029290577945,17.5
148,149,4303013,Carlisle High School,-0.4178550461818169,18.0
149,150,101004,Dewitt High School,-0.4201922629443047,18.34
150,151,7207062,Har-Ber High School,-0.42443730534172275,20.29
151,152,2807008,Greene Co. Tech High School,-0.428547582068159,19.17
152,153,7001012,El Dorado High School,-0.432386411727375,18.02
153,154,506032,Lead Hill High School,-0.4504386104750715,17.5
154,155,7204028,Greenland High School,-0.4575421811103553,17.6
155,156,405048,Rogers High School,-0.45792176432010123,19.47
156,157,4101004,Ashdown High School,-0.46153592584798986,17.75
157,158,7201002,Elkins High School,-0.4692988640842408,18.9
158,159,6606062,Mansfield High School,-0.4805767395049436,18.19
159,160,5006024,Prescott High School,-0.49284883233757526,17.11
160,161,2404017,Ozark High School,-0.5061408082812271,18.97
161,162,6303022,Bryant High School,-0.5103926828909202,20.27
162,163,104025,Stuttgart High School,-0.5116689748722294,17.26
