2023 Rank,LEA,School Name,RESIDUAL,2023 ACT,Rank Chg,ACT Chg,,,,,,,,
,,,,Avg Comp,from 2022,Avg Comp,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP,,2122_RANK,2122_ACT
52,2901002,Blevins High School,0.7329,18.79,72,1.6,52,2501002,Mammoth Spring High School,0.6511801,19.08,,124,17.19
53,5401003,Barton High School,0.6947,17.57,88,1.05,53,5205029,Harmony Grove High School,0.6239733,19.36,,141,16.52
54,440703,Benton Cty School of Arts High,0.6814,19.74,-24,-1.38,54,405703,Rogers New Technology High School,0.617292742,19.15,,30,21.12
55,6601025,Southside High School,0.6704,21.38,-16,0.67,55,1402009,Magnolia High School,0.592872236,17.98,,39,20.71
56,5608037,East Poinsett Co. High School,0.6514,18.65,149,1.96,56,401003,Bentonville High School,0.565824528,22.94,,205,16.69
57,505027,Valley Springs High School,0.6346,20.09,53,0.3,57,5802006,Dover High School,0.565644026,19.88,,110,19.79
58,2301006,Conway High School,0.6194,20.24,61,-0.3,58,6701003,Dequeen High School,0.561892664,18.4,,119,20.54
59,3001003,Bismarck High School,0.6131,19.36,-55,-2.21,59,7510019,Two Rivers High School,0.507991072,17.88,,4,21.57
60,6040703,Academics Plus,0.6106,21.51,-41,0.11,60,1601002,Bay High School,0.467240768,19,,19,21.4
61,1611042,Nettleton High School,0.604,18.04,-23,-0.27,61,4401003,Huntsville High School,0.459606788,19.73,,38,18.31
62,2105028,McGehee High School,0.5787,17.47,20,0.32,62,4901003,Caddo Hills High School,0.456274476,18.52,,82,17.15
63,2002007,Fordyce High School,0.5476,17.52,-49,-0.86,63,5303011,Perryville High School,0.426169286,18.58,,14,18.38
64,3806019,Sloan-Hendrix High School,0.5292,18.94,126,1.39,64,6901007,Mountain View High School,0.416649088,19.32,,190,17.55
65,4701002,Armorel High School,0.5254,18.95,57,0.32,65,2203012,Monticello High School,0.407395986,18.9,,122,18.63
66,6050703,College Prep Academy,0.523,16.63,106,0.72,66,903018,Lakeside High School,0.386457756,15.86,,172,15.91
67,6606062,Mansfield High School,0.5029,19.15,94,0.96,67,6003128,Sylvan Hills High School,0.38153633,19.27,,161,18.19
68,6302012,Benton High School,0.4964,20.9,50,0.41,68,2402007,Charleston High School,0.378225071,19.36,,118,20.49
69,7205706,Lincoln New Tech High School,0.4945,18.68,32,0.34,69,5804014,Pottsville High School,0.376890245,19.92,,101,18.34
70,7302010,Beebe High School,0.4748,19.58,51,0.03,70,7509033,Western Yell Co. High School,0.348944167,17.86,,121,19.55
71,5504015,Murfreesboro High School,0.4706,18.57,19,0.29,71,1204015,West Side High School,0.341206398,18.98,,90,18.28
72,6605057,Lavaca High School,0.468,19.53,94,1.06,72,404022,Gravette High School,0.337846024,19.92,,166,18.47
73,4302018,England High School,0.4396,17.4,33,0.4,73,2604030,Jessieville High School,0.333824908,19,,106,17
74,5403019,Central High School,0.439,15.5,97,1.37,74,2307034,Vilonia High School,0.332776341,20.36,,171,14.13
75,1106023,Rector High School,0.4385,19.37,144,1.83,75,3601005,Clarksville High School,0.327724718,18.72,,219,17.54
76,2307034,Vilonia High School,0.4331,20.06,-2,-0.3,76,4202008,J.D. Leftwich High School,0.312675756,18.19,,74,20.36
77,1901703,Cross Cnty High A New Tech Sch,0.4164,18.54,30,0.41,77,402009,Decatur High School,0.300728441,17.52,,107,18.13
78,404022,Gravette High School,0.3678,19.92,-6,0,78,2808043,Paragould High School,0.293132349,19.33,,72,19.92
79,7007040,Parkers Chapel High School,0.3539,20.24,113,1.89,79,6502006,Marshall High School,0.286606085,19.2,,192,18.35
80,3601005,Clarksville High School,0.3412,18.53,-5,-0.19,80,3104006,Mineral Springs High School,0.279138714,15.38,,75,18.72
81,7207062,Har-Ber High School,0.2948,20.49,71,0.2,81,1305010,Rison High School,0.248648353,18.14,,152,20.29
82,1304015,Woodlawn High School,0.2745,19.41,143,2.15,82,2105028,McGehee High School,0.247665377,17.15,,225,17.26
83,2303017,Greenbrier High School,0.2742,20.89,-41,-0.43,83,901003,Dermott High School,0.235040889,14.39,,42,21.32
84,5201002,Bearden High School,0.2612,17.81,29,0.93,84,5805024,Russellville High School,0.234107457,19.94,,113,16.88
85,3105011,Nashville High School,0.2587,18.05,-59,-1.1,85,802007,Eureka Springs High School,0.231243323,19.44,,26,19.15
86,2607047,Mountain Pine High School,0.2542,17.79,22,0.11,86,801002,Berryville High School,0.219331587,18.41,,108,17.68
87,1408019,Taylor High School,0.2138,19.68,7,-0.57,87,1702009,Cedarville High School,0.217887069,18.35,,94,20.25
88,2605034,Lake Hamilton High School,0.2112,19.47,113,0.39,88,302007,Cotter High School,0.200171438,19.05,,201,19.08
89,5802006,Dover High School,0.2094,19.39,-32,-0.49,89,4203012,Paris High School,0.196153915,18.8,,57,19.88
90,2306030,Mt. Vernon/Enola High School,0.2068,19.07,-65,-1.49,90,5504015,Murfreesboro High School,0.176824954,18.28,,25,20.56
91,4201002,Booneville High School,0.2041,18.64,82,0.41,91,1201002,Concord High School,0.162348346,18.46,,173,18.23
92,5801002,Atkins High School,0.1848,18.86,-72,-0.91,92,1002010,Arkadelphia High School,0.152831459,18.36,,20,19.77
93,6003151,Maumelle High School,0.1673,18.18,33,-0.32,93,502007,Bergman High School,0.133061752,19.23,,126,18.5
94,1804015,Marion High School,0.1543,17.45,15,-0.12,94,1408019,Taylor High School,0.116799985,20.25,,109,17.57
95,6003128,Sylvan Hills High School,0.1381,18.57,-28,-0.7,95,5703012,Mena High School,0.112634726,19.28,,67,19.27
96,1305010,Rison High School,0.1339,18.55,-15,0.41,96,2606044,Lakeside High School,0.10161974,20.09,,81,18.14
97,7304019,White Co. Central High School,0.1294,18.58,133,2.16,97,6003127,Joe T. Robinson High School,0.09865756,18.6,,230,16.42
98,5703012,Mena High School,0.1244,19.34,-3,0.06,98,7403013,McCrory High School,0.081795367,18.77,,95,19.28
99,5707023,Cossatot River High School,0.1224,17.92,50,0.42,99,7208062,West Fork High School,0.068534413,18.96,,149,17.5
100,7309039,Pangburn High School,0.1024,18.53,5,-0.55,100,2304022,Guy-Perkins High School,0.064886598,17.8,,105,19.08
101,1002010,Arkadelphia High School,0.0736,18.5,-9,0.14,101,7205706,Lincoln New Tech High School,0.062751544,18.34,,92,18.36
